legacy_area_id,legacy_area_title,new_mission_id,new_area_id,new_area_title,mapping_rule
g5_lq_t1_m03_a03,Figure Studio,g5_lq_t1_m03,g5_lq_t1_m03_a02,Figure Studio,content_merged_into_optimized_three_area_mission
g5_lq_t1_m03_a04,Gesture Theater,g5_lq_t1_m03,g5_lq_t1_m03_a02,Figure Studio,content_merged_into_optimized_three_area_mission
g5_lq_t1_m03_a05,Cultural Gallery,g5_lq_t1_m03,g5_lq_t1_m03_a03,Cultural Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t1_m03_final_challenge,Former Final Challenge,g5_lq_t1_m03,g5_lq_t1_m03_a03,Cultural Gallery,integrated_into_area_3
g5_lq_t1_m04_a01,Headline Dock,g5_lq_t1_m04,g5_lq_t1_m04_a01,Headline Dock,content_merged_into_optimized_three_area_mission
g5_lq_t1_m04_a02,Detail Market,g5_lq_t1_m04,g5_lq_t1_m04_a01,Headline Dock,content_merged_into_optimized_three_area_mission
g5_lq_t1_m04_a03,Fact–Opinion Court,g5_lq_t1_m04,g5_lq_t1_m04_a02,Fact–Opinion Court,content_merged_into_optimized_three_area_mission
g5_lq_t1_m04_a04,Outline Workshop,g5_lq_t1_m04,g5_lq_t1_m04_a02,Fact–Opinion Court,content_merged_into_optimized_three_area_mission
g5_lq_t1_m04_a05,Broadcast Balcony,g5_lq_t1_m04,g5_lq_t1_m04_a03,Broadcast Balcony,content_merged_into_optimized_three_area_mission
g5_lq_t1_m04_final_challenge,Former Final Challenge,g5_lq_t1_m04,g5_lq_t1_m04_a03,Broadcast Balcony,integrated_into_area_3
g5_lq_t1_m05_a01,Source Library,g5_lq_t1_m05,g5_lq_t1_m05_a01,Source Library,content_merged_into_optimized_three_area_mission
g5_lq_t1_m05_a02,Narrative Workshop,g5_lq_t1_m05,g5_lq_t1_m05_a01,Source Library,content_merged_into_optimized_three_area_mission
g5_lq_t1_m05_a03,Clarity Foundry,g5_lq_t1_m05,g5_lq_t1_m05_a02,Clarity Foundry,content_merged_into_optimized_three_area_mission
g5_lq_t1_m05_a04,Visual Design Hall,g5_lq_t1_m05,g5_lq_t1_m05_a02,Clarity Foundry,content_merged_into_optimized_three_area_mission
g5_lq_t1_m05_a05,Chronicle Vault,g5_lq_t1_m05,g5_lq_t1_m05_a03,Chronicle Vault,content_merged_into_optimized_three_area_mission
g5_lq_t1_m05_final_challenge,Former Final Challenge,g5_lq_t1_m05,g5_lq_t1_m05_a03,Chronicle Vault,integrated_into_area_3
g5_lq_t2_m01_a01,Crescent Courtyard,g5_lq_t2_m01,g5_lq_t2_m01_a01,Crescent Courtyard,content_merged_into_optimized_three_area_mission
g5_lq_t2_m01_a02,Invitation Workshop,g5_lq_t2_m01,g5_lq_t2_m01_a01,Crescent Courtyard,content_merged_into_optimized_three_area_mission
g5_lq_t2_m01_a03,Schedule Walk,g5_lq_t2_m01,g5_lq_t2_m01_a02,Schedule Walk,content_merged_into_optimized_three_area_mission
g5_lq_t2_m01_a04,Quiet Reflection Garden,g5_lq_t2_m01,g5_lq_t2_m01_a02,Schedule Walk,content_merged_into_optimized_three_area_mission
g5_lq_t2_m01_a05,Community Hall,g5_lq_t2_m01,g5_lq_t2_m01_a03,Community Hall,content_merged_into_optimized_three_area_mission
g5_lq_t2_m01_final_challenge,Former Final Challenge,g5_lq_t2_m01,g5_lq_t2_m01_a03,Community Hall,integrated_into_area_3
g5_lq_t2_m02_a01,Red Gate,g5_lq_t2_m02,g5_lq_t2_m02_a01,Red Gate,content_merged_into_optimized_three_area_mission
g5_lq_t2_m02_a02,Family Workshop,g5_lq_t2_m02,g5_lq_t2_m02_a01,Red Gate,content_merged_into_optimized_three_area_mission
g5_lq_t2_m02_a03,Seven-Lantern Lane,g5_lq_t2_m02,g5_lq_t2_m02_a02,Seven-Lantern Lane,content_merged_into_optimized_three_area_mission
g5_lq_t2_m02_a04,Word Cabinet,g5_lq_t2_m02,g5_lq_t2_m02_a02,Seven-Lantern Lane,content_merged_into_optimized_three_area_mission
g5_lq_t2_m02_a05,Chronicle Stage,g5_lq_t2_m02,g5_lq_t2_m02_a03,Chronicle Stage,content_merged_into_optimized_three_area_mission
g5_lq_t2_m02_final_challenge,Former Final Challenge,g5_lq_t2_m02,g5_lq_t2_m02_a03,Chronicle Stage,integrated_into_area_3
g5_lq_t2_m03_a01,Source Desk,g5_lq_t2_m03,g5_lq_t2_m03_a01,Source Desk,content_merged_into_optimized_three_area_mission
g5_lq_t2_m03_a02,Purpose Board,g5_lq_t2_m03,g5_lq_t2_m03_a01,Source Desk,content_merged_into_optimized_three_area_mission
g5_lq_t2_m03_a03,Detail Rooms,g5_lq_t2_m03,g5_lq_t2_m03_a02,Detail Rooms,content_merged_into_optimized_three_area_mission
g5_lq_t2_m03_a04,Comparison Bridge,g5_lq_t2_m03,g5_lq_t2_m03_a02,Detail Rooms,content_merged_into_optimized_three_area_mission
g5_lq_t2_m03_a05,Editor’s Booth,g5_lq_t2_m03,g5_lq_t2_m03_a03,Editor’s Booth,content_merged_into_optimized_three_area_mission
g5_lq_t2_m03_final_challenge,Former Final Challenge,g5_lq_t2_m03,g5_lq_t2_m03_a03,Editor’s Booth,integrated_into_area_3
g5_lq_t2_m04_a01,Camera Corner,g5_lq_t2_m04,g5_lq_t2_m04_a01,Camera Corner,content_merged_into_optimized_three_area_mission
g5_lq_t2_m04_a02,Stereotype Mirror,g5_lq_t2_m04,g5_lq_t2_m04_a01,Camera Corner,content_merged_into_optimized_three_area_mission
g5_lq_t2_m04_a03,Interview Room,g5_lq_t2_m04,g5_lq_t2_m04_a02,Interview Room,content_merged_into_optimized_three_area_mission
g5_lq_t2_m04_a04,Evidence Console,g5_lq_t2_m04,g5_lq_t2_m04_a02,Interview Room,content_merged_into_optimized_three_area_mission
g5_lq_t2_m04_a05,Edit Suite,g5_lq_t2_m04,g5_lq_t2_m04_a03,Edit Suite,content_merged_into_optimized_three_area_mission
g5_lq_t2_m04_final_challenge,Former Final Challenge,g5_lq_t2_m04,g5_lq_t2_m04_a03,Edit Suite,integrated_into_area_3
g5_lq_t2_m05_a01,Calendar Archive,g5_lq_t2_m05,g5_lq_t2_m05_a01,Calendar Archive,content_merged_into_optimized_three_area_mission
g5_lq_t2_m05_a02,Story Window,g5_lq_t2_m05,g5_lq_t2_m05_a01,Calendar Archive,content_merged_into_optimized_three_area_mission
g5_lq_t2_m05_a03,Information Window,g5_lq_t2_m05,g5_lq_t2_m05_a02,Information Window,content_merged_into_optimized_three_area_mission
g5_lq_t2_m05_a04,Design Window,g5_lq_t2_m05,g5_lq_t2_m05_a02,Information Window,content_merged_into_optimized_three_area_mission
g5_lq_t2_m05_a05,Review Council,g5_lq_t2_m05,g5_lq_t2_m05_a03,Review Council,content_merged_into_optimized_three_area_mission
g5_lq_t2_m05_final_challenge,Former Final Challenge,g5_lq_t2_m05,g5_lq_t2_m05_a03,Review Council,integrated_into_area_3
g5_lq_t3_m01_a01,Unlabeled Gallery,g5_lq_t3_m01,g5_lq_t3_m01_a01,Unlabeled Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m01_a02,Thread Path,g5_lq_t3_m01,g5_lq_t3_m01_a01,Unlabeled Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m01_a03,Council House,g5_lq_t3_m01,g5_lq_t3_m01_a02,Council House,content_merged_into_optimized_three_area_mission
g5_lq_t3_m01_a04,Caption Workshop,g5_lq_t3_m01,g5_lq_t3_m01_a02,Council House,content_merged_into_optimized_three_area_mission
g5_lq_t3_m01_a05,Permission Loom,g5_lq_t3_m01,g5_lq_t3_m01_a03,Permission Loom,content_merged_into_optimized_three_area_mission
g5_lq_t3_m01_final_challenge,Former Final Challenge,g5_lq_t3_m01,g5_lq_t3_m01_a03,Permission Loom,integrated_into_area_3
g5_lq_t3_m02_a01,River Gate,g5_lq_t3_m02,g5_lq_t3_m02_a01,River Gate,content_merged_into_optimized_three_area_mission
g5_lq_t3_m02_a02,Decision Bend,g5_lq_t3_m02,g5_lq_t3_m02_a01,River Gate,content_merged_into_optimized_three_area_mission
g5_lq_t3_m02_a03,Seven-Stone Crossing,g5_lq_t3_m02,g5_lq_t3_m02_a02,Seven-Stone Crossing,content_merged_into_optimized_three_area_mission
g5_lq_t3_m02_a04,Mood Shore,g5_lq_t3_m02,g5_lq_t3_m02_a02,Seven-Stone Crossing,content_merged_into_optimized_three_area_mission
g5_lq_t3_m02_a05,Story Landing,g5_lq_t3_m02,g5_lq_t3_m02_a03,Story Landing,content_merged_into_optimized_three_area_mission
g5_lq_t3_m02_final_challenge,Former Final Challenge,g5_lq_t3_m02,g5_lq_t3_m02_a03,Story Landing,integrated_into_area_3
g5_lq_t3_m03_a01,Reference Cabin,g5_lq_t3_m03,g5_lq_t3_m03_a01,Reference Cabin,content_merged_into_optimized_three_area_mission
g5_lq_t3_m03_a02,Fact Ridge,g5_lq_t3_m03,g5_lq_t3_m03_a01,Reference Cabin,content_merged_into_optimized_three_area_mission
g5_lq_t3_m03_a03,Outline Pass,g5_lq_t3_m03,g5_lq_t3_m03_a02,Outline Pass,content_merged_into_optimized_three_area_mission
g5_lq_t3_m03_a04,Symbol Trail,g5_lq_t3_m03,g5_lq_t3_m03_a02,Outline Pass,content_merged_into_optimized_three_area_mission
g5_lq_t3_m03_a05,Attribution Peak,g5_lq_t3_m03,g5_lq_t3_m03_a03,Attribution Peak,content_merged_into_optimized_three_area_mission
g5_lq_t3_m03_final_challenge,Former Final Challenge,g5_lq_t3_m03,g5_lq_t3_m03_a03,Attribution Peak,integrated_into_area_3
g5_lq_t3_m04_a01,Poster Square,g5_lq_t3_m04,g5_lq_t3_m04_a01,Poster Square,content_merged_into_optimized_three_area_mission
g5_lq_t3_m04_a02,Image Review Tent,g5_lq_t3_m04,g5_lq_t3_m04_a01,Poster Square,content_merged_into_optimized_three_area_mission
g5_lq_t3_m04_a03,Slogan Workshop,g5_lq_t3_m04,g5_lq_t3_m04_a02,Slogan Workshop,content_merged_into_optimized_three_area_mission
g5_lq_t3_m04_a04,Performance Corner,g5_lq_t3_m04,g5_lq_t3_m04_a02,Slogan Workshop,content_merged_into_optimized_three_area_mission
g5_lq_t3_m04_a05,Approval Board,g5_lq_t3_m04,g5_lq_t3_m04_a03,Approval Board,content_merged_into_optimized_three_area_mission
g5_lq_t3_m04_final_challenge,Former Final Challenge,g5_lq_t3_m04,g5_lq_t3_m04_a03,Approval Board,integrated_into_area_3
g5_lq_t3_m05_a01,Story Gallery,g5_lq_t3_m05,g5_lq_t3_m05_a01,Story Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m05_a02,Information Gallery,g5_lq_t3_m05,g5_lq_t3_m05_a01,Story Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m05_a03,Language Gallery,g5_lq_t3_m05,g5_lq_t3_m05_a02,Language Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m05_a04,Media Gallery,g5_lq_t3_m05,g5_lq_t3_m05_a02,Language Gallery,content_merged_into_optimized_three_area_mission
g5_lq_t3_m05_a05,Community Review Hall,g5_lq_t3_m05,g5_lq_t3_m05_a03,Community Review Hall,content_merged_into_optimized_three_area_mission
g5_lq_t3_m05_final_challenge,Former Final Challenge,g5_lq_t3_m05,g5_lq_t3_m05_a03,Community Review Hall,integrated_into_area_3
g5_peh_t1_m01_a01,Signal Garden,g5_peh_t1_m01,g5_peh_t1_m01_a01,Signal Garden,content_merged_into_optimized_three_area_mission
g5_peh_t1_m01_a02,Breathing Bridge,g5_peh_t1_m01,g5_peh_t1_m01_a01,Signal Garden,content_merged_into_optimized_three_area_mission
g5_peh_t1_m01_a03,Plan Path,g5_peh_t1_m01,g5_peh_t1_m01_a02,Plan Path,content_merged_into_optimized_three_area_mission
g5_peh_t1_m01_a04,Support Station,g5_peh_t1_m01,g5_peh_t1_m01_a02,Plan Path,content_merged_into_optimized_three_area_mission
g5_peh_t1_m01_a05,Rest Grove,g5_peh_t1_m01,g5_peh_t1_m01_a03,Rest Grove,content_merged_into_optimized_three_area_mission
g5_peh_t1_m01_final_challenge,Former Final Challenge,g5_peh_t1_m01,g5_peh_t1_m01_a03,Rest Grove,integrated_into_area_3
g5_peh_t1_m02_a01,Respect Gate,g5_peh_t1_m02,g5_peh_t1_m02_a01,Respect Gate,content_merged_into_optimized_three_area_mission
g5_peh_t1_m02_a02,Voice Steps,g5_peh_t1_m02,g5_peh_t1_m02_a01,Respect Gate,content_merged_into_optimized_three_area_mission
g5_peh_t1_m02_a03,Bystander Corner,g5_peh_t1_m02,g5_peh_t1_m02_a02,Bystander Corner,content_merged_into_optimized_three_area_mission
g5_peh_t1_m02_a04,Trusted Adult Tower,g5_peh_t1_m02,g5_peh_t1_m02_a02,Bystander Corner,content_merged_into_optimized_three_area_mission
g5_peh_t1_m02_a05,Bridge Council,g5_peh_t1_m02,g5_peh_t1_m02_a03,Bridge Council,content_merged_into_optimized_three_area_mission
g5_peh_t1_m02_final_challenge,Former Final Challenge,g5_peh_t1_m02,g5_peh_t1_m02_a03,Bridge Council,integrated_into_area_3
g5_peh_t1_m03_a01,Growth Path,g5_peh_t1_m03,g5_peh_t1_m03_a01,Growth Path,content_merged_into_optimized_three_area_mission
g5_peh_t1_m03_a02,Body Care Fountain,g5_peh_t1_m03,g5_peh_t1_m03_a01,Growth Path,content_merged_into_optimized_three_area_mission
g5_peh_t1_m03_a03,Feeling Greenhouse,g5_peh_t1_m03,g5_peh_t1_m03_a02,Feeling Greenhouse,content_merged_into_optimized_three_area_mission
g5_peh_t1_m03_a04,Privacy Hedge,g5_peh_t1_m03,g5_peh_t1_m03_a02,Feeling Greenhouse,content_merged_into_optimized_three_area_mission
g5_peh_t1_m03_a05,Myth Compost,g5_peh_t1_m03,g5_peh_t1_m03_a03,Myth Compost,content_merged_into_optimized_three_area_mission
g5_peh_t1_m03_final_challenge,Former Final Challenge,g5_peh_t1_m03,g5_peh_t1_m03_a03,Myth Compost,integrated_into_area_3
g5_peh_t1_m04_a01,Listening Fire,g5_peh_t1_m04,g5_peh_t1_m04_a01,Listening Fire,content_merged_into_optimized_three_area_mission
g5_peh_t1_m04_a02,Routine Cabin,g5_peh_t1_m04,g5_peh_t1_m04_a01,Listening Fire,content_merged_into_optimized_three_area_mission
g5_peh_t1_m04_a03,Question Trail,g5_peh_t1_m04,g5_peh_t1_m04_a02,Question Trail,content_merged_into_optimized_three_area_mission
g5_peh_t1_m04_a04,Respect Dock,g5_peh_t1_m04,g5_peh_t1_m04_a02,Question Trail,content_merged_into_optimized_three_area_mission
g5_peh_t1_m04_a05,Support Map,g5_peh_t1_m04,g5_peh_t1_m04_a03,Support Map,content_merged_into_optimized_three_area_mission
g5_peh_t1_m04_final_challenge,Former Final Challenge,g5_peh_t1_m04,g5_peh_t1_m04_a03,Support Map,integrated_into_area_3
g5_peh_t1_m05_a01,Ready Stance Yard,g5_peh_t1_m05,g5_peh_t1_m05_a01,Ready Stance Yard,content_merged_into_optimized_three_area_mission
g5_peh_t1_m05_a02,Agility Lanes,g5_peh_t1_m05,g5_peh_t1_m05_a01,Ready Stance Yard,content_merged_into_optimized_three_area_mission
g5_peh_t1_m05_a03,Strike Zone,g5_peh_t1_m05,g5_peh_t1_m05_a02,Strike Zone,content_merged_into_optimized_three_area_mission
g5_peh_t1_m05_a04,Fielding Circle,g5_peh_t1_m05,g5_peh_t1_m05_a02,Strike Zone,content_merged_into_optimized_three_area_mission
g5_peh_t1_m05_a05,Net/Wall Court,g5_peh_t1_m05,g5_peh_t1_m05_a03,Net/Wall Court,content_merged_into_optimized_three_area_mission
g5_peh_t1_m05_final_challenge,Former Final Challenge,g5_peh_t1_m05,g5_peh_t1_m05_a03,Net/Wall Court,integrated_into_area_3
g5_peh_t2_m01_a01,Purpose Shelf,g5_peh_t2_m01,g5_peh_t2_m01_a01,Purpose Shelf,content_merged_into_optimized_three_area_mission
g5_peh_t2_m01_a02,Label Desk,g5_peh_t2_m01,g5_peh_t2_m01_a01,Purpose Shelf,content_merged_into_optimized_three_area_mission
g5_peh_t2_m01_a03,Trusted Adult Window,g5_peh_t2_m01,g5_peh_t2_m01_a02,Trusted Adult Window,content_merged_into_optimized_three_area_mission
g5_peh_t2_m01_a04,Sharing Stop,g5_peh_t2_m01,g5_peh_t2_m01_a02,Trusted Adult Window,content_merged_into_optimized_three_area_mission
g5_peh_t2_m01_a05,Storage Cabinet,g5_peh_t2_m01,g5_peh_t2_m01_a03,Storage Cabinet,content_merged_into_optimized_three_area_mission
g5_peh_t2_m01_final_challenge,Former Final Challenge,g5_peh_t2_m01,g5_peh_t2_m01_a03,Storage Cabinet,integrated_into_area_3
g5_peh_t2_m02_a01,Measure Gate,g5_peh_t2_m02,g5_peh_t2_m02_a01,Measure Gate,content_merged_into_optimized_three_area_mission
g5_peh_t2_m02_a02,Time Bridge,g5_peh_t2_m02,g5_peh_t2_m02_a01,Measure Gate,content_merged_into_optimized_three_area_mission
g5_peh_t2_m02_a03,Warning Hill,g5_peh_t2_m02,g5_peh_t2_m02_a02,Warning Hill,content_merged_into_optimized_three_area_mission
g5_peh_t2_m02_a04,Look-Alike Fork,g5_peh_t2_m02,g5_peh_t2_m02_a02,Warning Hill,content_merged_into_optimized_three_area_mission
g5_peh_t2_m02_a05,Emergency Post,g5_peh_t2_m02,g5_peh_t2_m02_a03,Emergency Post,content_merged_into_optimized_three_area_mission
g5_peh_t2_m02_final_challenge,Former Final Challenge,g5_peh_t2_m02,g5_peh_t2_m02_a03,Emergency Post,integrated_into_area_3
g5_peh_t2_m03_a01,Message Screen,g5_peh_t2_m03,g5_peh_t2_m03_a01,Message Screen,content_merged_into_optimized_three_area_mission
g5_peh_t2_m03_a02,Body Path,g5_peh_t2_m03,g5_peh_t2_m03_a01,Message Screen,content_merged_into_optimized_three_area_mission
g5_peh_t2_m03_a03,Family House,g5_peh_t2_m03,g5_peh_t2_m03_a02,Family House,content_merged_into_optimized_three_area_mission
g5_peh_t2_m03_a04,Community Corner,g5_peh_t2_m03,g5_peh_t2_m03_a02,Family House,content_merged_into_optimized_three_area_mission
g5_peh_t2_m03_a05,Refusal Bridge,g5_peh_t2_m03,g5_peh_t2_m03_a03,Refusal Bridge,content_merged_into_optimized_three_area_mission
g5_peh_t2_m03_final_challenge,Former Final Challenge,g5_peh_t2_m03,g5_peh_t2_m03_a03,Refusal Bridge,integrated_into_area_3
g5_peh_t2_m04_a01,Energy Gauge,g5_peh_t2_m04,g5_peh_t2_m04_a01,Energy Gauge,content_merged_into_optimized_three_area_mission
g5_peh_t2_m04_a02,Coordination Track,g5_peh_t2_m04,g5_peh_t2_m04_a01,Energy Gauge,content_merged_into_optimized_three_area_mission
g5_peh_t2_m04_a03,Heart and Breath Station,g5_peh_t2_m04,g5_peh_t2_m04_a02,Heart and Breath Station,content_merged_into_optimized_three_area_mission
g5_peh_t2_m04_a04,Recovery Bay,g5_peh_t2_m04,g5_peh_t2_m04_a02,Heart and Breath Station,content_merged_into_optimized_three_area_mission
g5_peh_t2_m04_a05,Team Safety Board,g5_peh_t2_m04,g5_peh_t2_m04_a03,Team Safety Board,content_merged_into_optimized_three_area_mission
g5_peh_t2_m04_final_challenge,Former Final Challenge,g5_peh_t2_m04,g5_peh_t2_m04_a03,Team Safety Board,integrated_into_area_3
g5_peh_t2_m05_a01,Beat Steps,g5_peh_t2_m05,g5_peh_t2_m05_a01,Beat Steps,content_merged_into_optimized_three_area_mission
g5_peh_t2_m05_a02,Balance Bars,g5_peh_t2_m05,g5_peh_t2_m05_a01,Beat Steps,content_merged_into_optimized_three_area_mission
g5_peh_t2_m05_a03,Choice Station,g5_peh_t2_m05,g5_peh_t2_m05_a02,Choice Station,content_merged_into_optimized_three_area_mission
g5_peh_t2_m05_a04,Partner Circle,g5_peh_t2_m05,g5_peh_t2_m05_a02,Choice Station,content_merged_into_optimized_three_area_mission
g5_peh_t2_m05_a05,Cool-Down Garden,g5_peh_t2_m05,g5_peh_t2_m05_a03,Cool-Down Garden,content_merged_into_optimized_three_area_mission
g5_peh_t2_m05_final_challenge,Former Final Challenge,g5_peh_t2_m05,g5_peh_t2_m05_a03,Cool-Down Garden,integrated_into_area_3
g5_peh_t3_m01_a01,Kitchen Check,g5_peh_t3_m01,g5_peh_t3_m01_a01,Kitchen Check,content_merged_into_optimized_three_area_mission
g5_peh_t3_m01_a02,Bathroom Check,g5_peh_t3_m01,g5_peh_t3_m01_a01,Kitchen Check,content_merged_into_optimized_three_area_mission
g5_peh_t3_m01_a03,Bedroom Check,g5_peh_t3_m01,g5_peh_t3_m01_a02,Bedroom Check,content_merged_into_optimized_three_area_mission
g5_peh_t3_m01_a04,Storage Check,g5_peh_t3_m01,g5_peh_t3_m01_a02,Bedroom Check,content_merged_into_optimized_three_area_mission
g5_peh_t3_m01_a05,Family Plan Board,g5_peh_t3_m01,g5_peh_t3_m01_a03,Family Plan Board,content_merged_into_optimized_three_area_mission
g5_peh_t3_m01_final_challenge,Former Final Challenge,g5_peh_t3_m01,g5_peh_t3_m01_a03,Family Plan Board,integrated_into_area_3
g5_peh_t3_m02_a01,Classroom Zone,g5_peh_t3_m02,g5_peh_t3_m02_a01,Classroom Zone,content_merged_into_optimized_three_area_mission
g5_peh_t3_m02_a02,Playground Zone,g5_peh_t3_m02,g5_peh_t3_m02_a01,Classroom Zone,content_merged_into_optimized_three_area_mission
g5_peh_t3_m02_a03,Community Zone,g5_peh_t3_m02,g5_peh_t3_m02_a02,Community Zone,content_merged_into_optimized_three_area_mission
g5_peh_t3_m02_a04,Outdoor Zone,g5_peh_t3_m02,g5_peh_t3_m02_a02,Community Zone,content_merged_into_optimized_three_area_mission
g5_peh_t3_m02_a05,Watch Desk,g5_peh_t3_m02,g5_peh_t3_m02_a03,Watch Desk,content_merged_into_optimized_three_area_mission
g5_peh_t3_m02_final_challenge,Former Final Challenge,g5_peh_t3_m02,g5_peh_t3_m02_a03,Watch Desk,integrated_into_area_3
g5_peh_t3_m03_a01,Stop–Look–Listen Gate,g5_peh_t3_m03,g5_peh_t3_m03_a01,Stop–Look–Listen Gate,content_merged_into_optimized_three_area_mission
g5_peh_t3_m03_a02,Visibility Lane,g5_peh_t3_m03,g5_peh_t3_m03_a01,Stop–Look–Listen Gate,content_merged_into_optimized_three_area_mission
g5_peh_t3_m03_a03,Passenger Bay,g5_peh_t3_m03,g5_peh_t3_m03_a02,Passenger Bay,content_merged_into_optimized_three_area_mission
g5_peh_t3_m03_a04,Weather Crossing,g5_peh_t3_m03,g5_peh_t3_m03_a02,Passenger Bay,content_merged_into_optimized_three_area_mission
g5_peh_t3_m03_a05,Route Planner,g5_peh_t3_m03,g5_peh_t3_m03_a03,Route Planner,content_merged_into_optimized_three_area_mission
g5_peh_t3_m03_final_challenge,Former Final Challenge,g5_peh_t3_m03,g5_peh_t3_m03_a03,Route Planner,integrated_into_area_3
g5_peh_t3_m04_a01,Readiness Desk,g5_peh_t3_m04,g5_peh_t3_m04_a01,Readiness Desk,content_merged_into_optimized_three_area_mission
g5_peh_t3_m04_a02,Warm-Up Track,g5_peh_t3_m04,g5_peh_t3_m04_a01,Readiness Desk,content_merged_into_optimized_three_area_mission
g5_peh_t3_m04_a03,Equipment Bay,g5_peh_t3_m04,g5_peh_t3_m04_a02,Equipment Bay,content_merged_into_optimized_three_area_mission
g5_peh_t3_m04_a04,Technique Zone,g5_peh_t3_m04,g5_peh_t3_m04_a02,Equipment Bay,content_merged_into_optimized_three_area_mission
g5_peh_t3_m04_a05,Response Station,g5_peh_t3_m04,g5_peh_t3_m04_a03,Response Station,content_merged_into_optimized_three_area_mission
g5_peh_t3_m04_final_challenge,Former Final Challenge,g5_peh_t3_m04,g5_peh_t3_m04_a03,Response Station,integrated_into_area_3
g5_peh_t3_m05_a01,Home Start,g5_peh_t3_m05,g5_peh_t3_m05_a01,Home Start,content_merged_into_optimized_three_area_mission
g5_peh_t3_m05_a02,School Rehearsal,g5_peh_t3_m05,g5_peh_t3_m05_a01,Home Start,content_merged_into_optimized_three_area_mission
g5_peh_t3_m05_a03,Road Transfer,g5_peh_t3_m05,g5_peh_t3_m05_a02,Road Transfer,content_merged_into_optimized_three_area_mission
g5_peh_t3_m05_a04,Outdoor Stage,g5_peh_t3_m05,g5_peh_t3_m05_a02,Road Transfer,content_merged_into_optimized_three_area_mission
g5_peh_t3_m05_a05,Final Dance,g5_peh_t3_m05,g5_peh_t3_m05_a03,Final Dance,content_merged_into_optimized_three_area_mission
g5_peh_t3_m05_final_challenge,Former Final Challenge,g5_peh_t3_m05,g5_peh_t3_m05_a03,Final Dance,integrated_into_area_3
g5_sci_t1_m01_a01,Solid Depot,g5_sci_t1_m01,g5_sci_t1_m01_a01,Solid Depot,content_merged_into_optimized_three_area_mission
g5_sci_t1_m01_a02,Liquid Dock,g5_sci_t1_m01,g5_sci_t1_m01_a01,Solid Depot,content_merged_into_optimized_three_area_mission
g5_sci_t1_m01_a03,Gas Balloon Yard,g5_sci_t1_m01,g5_sci_t1_m01_a02,Gas Balloon Yard,content_merged_into_optimized_three_area_mission
g5_sci_t1_m01_a04,Mass Scale,g5_sci_t1_m01,g5_sci_t1_m01_a02,Gas Balloon Yard,content_merged_into_optimized_three_area_mission
g5_sci_t1_m01_a05,Classification Gate,g5_sci_t1_m01,g5_sci_t1_m01_a03,Classification Gate,content_merged_into_optimized_three_area_mission
g5_sci_t1_m01_final_challenge,Former Final Challenge,g5_sci_t1_m01,g5_sci_t1_m01_a03,Classification Gate,integrated_into_area_3
